p1,p2,distance,similarity
39,1751,0.6516500786,0.6006179992
39,1790,0.6961760084,0.6416570104
39,1789,0.6883184914,0.6344148320
39,1791,0.6888423258,0.6348976439
39,1804,0.7270822420,0.6701429123
39,1803,0.7522262965,0.6933178834
41,54,0.7380827658,0.6802819621
41,53,0.7202723939,0.6638663577
42,54,0.7202723939,0.6638663577
42,53,0.7380827658,0.6802819621
41,236,0.8926139340,0.6581691773
42,235,0.8926139340,0.6581691773
41,277,0.6841278156,0.6305523368
42,278,0.6841278156,0.6305523368
41,642,0.6626506024,0.6107570491
42,641,0.6626506024,0.6107570491
41,694,0.6705081194,0.6179992275
42,693,0.6705081194,0.6179992275
41,791,0.6961760084,0.6416570104
42,792,0.6961760084,0.6416570104
41,810,0.6605552645,0.6088258015
42,809,0.6605552645,0.6088258015
41,880,0.6778418020,0.6247585941
41,879,0.6532215820,0.6020664349
42,880,0.6532215820,0.6020664349
42,879,0.6778418020,0.6247585941
41,1046,0.6872708224,0.6334492082
42,1045,0.6872708224,0.6334492082
41,1790,0.6783656365,0.6252414059
41,1789,0.6678889471,0.6155851680
42,1790,0.6678889471,0.6155851680
42,1789,0.6783656365,0.6252414059
41,1791,0.6689366160,0.6165507918
42,1792,0.6689366160,0.6165507918
41,1804,0.7108433735,0.6551757435
41,1803,0.7375589314,0.6797991503
42,1804,0.7375589314,0.6797991503
42,1803,0.7108433735,0.6551757435
53,78,0.7349397590,0.6773850908
54,77,0.7522262965,0.6933178834
53,265,0.7370350969,0.6793163384
54,266,0.7537977999,0.6947663190
53,894,0.7249869041,0.6682116647
54,893,0.7412257727,0.6831788335
53,1145,0.7234154007,0.6667632290
54,1146,0.7396542693,0.6817303978
53,1722,0.7454164484,0.6870413287
53,1881,0.7354635935,0.6778679027
54,1882,0.7522262965,0.6933178834
78,81,0.6616029335,0.6097914253
78,235,0.9015191200,0.6647354191
78,278,0.6966998428,0.6421398223
78,642,0.6616029335,0.6097914253
78,641,0.6778418020,0.6247585941
78,694,0.6547930854,0.6035148706
78,693,0.6867469880,0.6329663963
78,792,0.7129387114,0.6571069911
78,809,0.6773179675,0.6242757822
78,880,0.6694604505,0.6170336037
78,879,0.6940806705,0.6397257628
78,1045,0.7040335254,0.6488991889
78,1790,0.6851754845,0.6315179606
78,1789,0.6946045050,0.6402085747
78,1792,0.6862231535,0.6324835844
78,1804,0.7511786276,0.6923522596
78,1803,0.7260345731,0.6691772885
82,266,0.6636982713,0.6117226728
82,893,0.6521739130,0.6011008111
82,1721,0.6731272918,0.6204132870
82,1882,0.6626506024,0.6107570491
103,265,0.7202723939,0.6638663577
104,266,0.7202723939,0.6638663577
103,894,0.7092718701,0.6537273078
104,893,0.7092718701,0.6537273078
103,1145,0.7077003667,0.6522788722
104,1146,0.7077003667,0.6522788722
103,1722,0.7302252488,0.6730397837
104,1721,0.7302252488,0.6730397837
103,1881,0.7181770561,0.6619351101
104,1882,0.7181770561,0.6619351101
106,266,0.8391828182,0.6187717265
106,893,0.8297537978,0.6118192352
106,1146,0.8276584599,0.6102742372
106,1721,0.8501833421,0.6268829664
106,1882,0.8370874804,0.6172267285
117,236,0.6521739130,0.6011008111
128,235,0.6652697748,0.6131711085
129,265,0.6610790990,0.6093086134
130,266,0.6825563122,0.6291039011
130,893,0.6720796228,0.6194476632
130,1146,0.6705081194,0.6179992275
129,1722,0.6715557884,0.6189648513
130,1721,0.6930330016,0.6387601390
129,1881,0.6589837611,0.6073773658
130,1882,0.6809848088,0.6276554654
132,266,0.6956521739,0.6411741985
132,893,0.6841278156,0.6305523368
132,1146,0.6830801467,0.6295867130
132,1721,0.7050811943,0.6498648127
132,1882,0.6940806705,0.6397257628
139,265,0.7187008905,0.6624179220
140,266,0.6563645888,0.6049633063
139,894,0.7066526977,0.6513132484
139,1145,0.7050811943,0.6498648127
139,1722,0.7276060765,0.6706257242
140,1721,0.6657936092,0.6136539204
139,1881,0.7171293871,0.6609694863
140,1882,0.6547930854,0.6035148706
146,235,0.6715557884,0.6189648513
147,265,0.7171293871,0.6609694863
148,266,0.7412257727,0.6831788335
147,894,0.7066526977,0.6513132484
148,893,0.7291775799,0.6720741599
147,1145,0.7050811943,0.6498648127
148,1146,0.7281299109,0.6711085361
147,1722,0.7276060765,0.6706257242
148,1721,0.7501309586,0.6913866358
147,1881,0.7150340492,0.6590382387
148,1882,0.7396542693,0.6817303978
151,265,0.7045573599,0.6493820008
152,266,0.6841278156,0.6305523368
151,894,0.6930330016,0.6387601390
152,893,0.6715557884,0.6189648513
151,1145,0.6914614982,0.6373117034
152,1146,0.6699842850,0.6175164156
151,1722,0.7139863803,0.6580726149
152,1721,0.6919853326,0.6377945153
151,1881,0.7029858565,0.6479335651
152,1882,0.6825563122,0.6291039011
157,265,0.6553169199,0.6039976825
158,266,0.7427972761,0.6846272692
158,893,0.7307490833,0.6735225956
