"vendor_id","pickup_datetime","dropoff_datetime","passenger_count","trip_distance","pickup_longitude","pickup_latitude","rate_code","store_and_fwd_flag","dropoff_longitude","dropoff_latitude","payment_type","fare_amount","surcharge","mta_tax","tip_amount","tolls_amount","total_amount"
"CMT","2014-01-09 22:19:44","2014-01-09 22:26:58",1,"1,7","-73,968207","40,755371",1,"N","-73,951833","40,773469","CRD","7,5","0,5","0,5","1,7",0,"10,2"
"CMT","2014-01-09 22:14:35","2014-01-09 22:27:15",1,"3,2",0,0,1,"N",0,0,"CRD","12,5","0,5","0,5","4,05",0,"17,55"
"CMT","2014-01-09 22:12:07","2014-01-09 22:30:43",1,"4,3","-73,97802","40,783504",1,"N","-73,989522","40,736067","CRD",16,"0,5","0,5","3,4",0,"20,4"
"CMT","2014-01-09 18:57:22","2014-01-09 19:14:23",1,2,"-74,008099","40,746106",1,"N","-73,978349","40,729505","CRD","12,5",1,"0,5","2,8",0,"16,8"
"CMT","2014-01-09 18:57:27","2014-01-09 19:15:31",1,"2,6","-74,005147","40,74796",1,"N","-73,993695","40,721515","CRD","13,5",1,"0,5",3,0,18
"CMT","2014-01-09 18:56:36","2014-01-09 19:40:56",1,"19,9","-73,776742","40,645195",2,"N","-74,01026","40,717532","CRD",52,0,"0,5","10,5",0,63
"CMT","2014-01-09 19:07:08","2014-01-09 19:09:59",1,"0,4","-73,982552","40,742624",1,"N","-73,988855","40,741206","CRD",4,1,"0,5","1,1",0,"6,6"
"CMT","2014-01-09 19:04:36","2014-01-09 19:20:03",1,"1,8","-73,951197","40,77655",1,"N","-73,969998","40,758442","CRD",11,1,"0,5",3,0,"15,5"
"CMT","2014-01-09 19:04:56","2014-01-09 19:17:54",1,"2,6","-73,995762","40,744007",1,"N","-74,01043","40,7191","CRD",11,1,"0,5","0,2",0,"12,7"
"CMT","2014-01-09 19:07:54","2014-01-09 19:18:33",1,"2,2","-73,990591","40,702664",1,"N","-74,014184","40,716974","CRD",10,1,"0,5","2,3",0,"13,8"
"CMT","2014-01-09 19:09:10","2014-01-09 19:18:20",1,2,"-73,974869","40,750326",1,"N","-73,955595","40,772519","CRD","8,5",1,"0,5",2,0,12
"CMT","2014-01-09 20:10:17","2014-01-09 20:27:20",1,"2,5","-73,97142","40,759315",1,"N","-73,9951","40,72887","CRD",13,"0,5","0,5",1,0,15
